# List of 3 important stars for each constellation to display corresponding constellation image
# Prepared by M.S.Adityan <msadityan@gmail.com>
#
# This list was constructed from:
# 1. constellationart.fab, a file used by Stellarium to display constellation images.
# 2. A cross-list prepared by Alexander Wolf. http://astro.altspu.ru/~aw/cross-index/cross-index.dat
# 3. Refering to Wikipedia and SIMBAD for a few individual objects
#
# This catalog is released under the GNU General Public License:
# http://www.gnu.org/licenses/gpl.html
#
# This catalog has the following columns. 
# Constellation serial number,x1,y1,HD1,x2,y2,HD2,x3,y3,HD3,Abbrev, Image file 
# where xn,yn,HDn stand for x-coordinate of pixel of star n, y-coordinate of pixel of star n, HD number of star n
#   x1 y1  hd1    x2  y2  hd2    x3  y3  hd3   Abbrev Image file
1  198 215 4727   337 136 3627   224 428 12533  And andromeda.png
2  4   84  90610  72  69  84367  42  120 86629  Ant antlia.png
3  66  60  149324 76  87  147675 163 110 129078 Aps apus.png
4  163 232 187642 385 131 176411 397 397 177756 Aql aquila.png
5  144 464 220321 179 98  209750 465 49  198001 Aqr aquarius.png
6  98  70  152786 191 93  158094 107 249 165024 Ara ara.png 
7  12  130 17573  58  206 18519  210 47  11502  Ari aries.png 
8  196 189 40312  419 208 34029  290 423 31398  Aur auriga.png
9  225 222 129989 365 184 127762 207 401 121370 Boo bootes.png
10 16  231 28873  76  145 29875  199 75  29992  Cae caelum.png
11 77  46  33564  128 135 30614  219 136 21291  Cam camelopardalis.png
12 29  166 76756  101 255 69267  206 91  69897  Cnc cancer.png
13 15  436 207098 403 7   192947 460 438 198542 Cap capricornus.png
14 202 455 80007  62  216 88955  298 22  67523  Car argonavis.png
15 390 336 11415  163 156 3712   73  243 432    Cas cassiopeia.png
16 118 157 123139 194 444 128620 463 412 100841 Cen centaurus.png
17 60  335 222404 125 170 205021 335 147 210745 Cep cepheus.png
18 87  63  18883  28  274 17081  412 440 1522   Cet cetus.png
19 29  214 106911 73  123 92305  184 33  71243  Cha chamaeleon.png
20 5   36  136415 39  11  135379 235 239 128898 Cir circinus.png
21 21  347 58350  321 24  50778  318 492 44402  CMa canis-major.png
22 96  43  62832  101 171 61421  184 124 58715  CMi canis-minor.png
23 139 29  44762  40  190 40808  204 211 36597  Col columba.png
24 27  199 114378 38  58  114710 172 64  108381 Com coma-berenices.png
25 14  142 177474 218 34  170642 195 208 175219 CrA corona-australis.png
26 16  186 143807 201 203 140436 157 20  138749 CrB corona-borealis.png
27 45  41  103632 160 149 55282  55  242 97277  Crt crater.png
28 112 21  108903 42  20  111123 21  106 108248 Cru crux.png
29 65  59  108767 77  235 109379 213 187 105707 Crv corvus.png
30 117 113 113797 206 40  109358 207 152 109317 Cvn canes-venatici.png
31 7   382 206826 474 46  181276 467 453 183913 Cyg cygnus.png
32 59  31  197964 75  148 198390 211 143 195810 Del delphinus.png
33 56  197 40409  75  228 39014  219 46  27290  Dor dorado.png
34 13  411 100029 361 154 159181 449 429 188119 Dra draco.png
35 17  180 201601 149 86  202448 160 160 203562 Equ equuleus.png
36 41  95  30211  296 44  18322  493 490 10144  Eri eridanus.png
37 42  125 20010  128 37  17729  190 129 17652  For fornax.png
38 14  81  62345  117 252 48737  249 165 41116  Gem gemini.png
39 49  109 218227 85  206 215789 220 45  207971 Gru grus.png
40 44  115 147547 254 477 147394 441 102 166014 Her hercules.png
41 16  235 26967  184 67  16920  235 119 19319  Hor horlogium.png
42 26  491 115659 111 149 98664  401 33  76294  Hya hydra.png
43 14  204 12311  201 43  2151   241 215 24512  Hyi hydrus.png
44 64  143 196171 154 20  198700 175 98  202730 Ind indus.png
45 249 42  212496 108 123 213420 67  215 211388 Lac lacerta.png
46 69  411 102647 383 186 87901  321 32  84441  Leo leo.png
47 21  48  41695  246 62  33802  213 235 32887  Lep lepus.png
48 41  27  135742 58  170 142198 224 107 133216 Lib libra.png
49 8   40  94264  214 127 82635  61  155 88960  LMi leo-minor.png
50 90  257 134505 207 435 126354 425 239 136422 Lup lupus.png
51 100 216 76943  337 212 58142  472 119 43378  Lyn lynx.png
52 100 96  175588 157 38  172167 139 162 174638 Lyr lyra.png
53 100 67  30612  179 136 37763  54  183 43107  Men mensa.png
54 122 226 202627 168 148 199951 234 115 198232 Mic microscopium.png 
55 20  306 67594  394 80  47839  509 359 43232  Mon monoceros.png
56 57  52  109026 177 68  110879 129 236 102249 Mus musca.png
57 17  45  143546 101 38  145397 16  112 147971 Nor norma.png
58 15  16  124882 236 239 205478 247 140 214846 Oct octans.png
59 5   183 175638 452 47  141003 238 453 158643 Oph ophiuchus.png
60 59  11  39587  329 477 38771  421 91  30652  Ori orion.png
61 55  60  193924 110 208 188228 235 146 160635 Pav pavo.png
62 164 41  206778 47  283 210459 409 349 886    Peg pegasus.png
63 164 323 24760  299 175 20902  385 386 17584  Per perseus.png
64 55  243 11695  209 15  496    229 214 6882   Phe phoenix.png
65 4   252 50241  148 138 39523  167 38  39060  Pic pictor.png
66 190 5   216763 82  202 207155 236 92  214748 PsA piscis-austrinus.png
67 24  104 6118   111 489 12446  481 155 219615 Psc pisces.png
68 152 220 72227  94  159 74575  44  202 74006  Pyx pyxis.png
69 47  56  25422  78  88  27256  16  111 27442  Ret reticulum.png
70 231 39  219784 240 106 221507 32  174 5737   Scl sculptor.png
71 447 29  144217 62  365 158926 217 462 152334 Sco scorpius.png
72 52  17  173764 224 124 170296 139 206 175156 Sct scutum.png
73 26  54  90994  68  36  87887  118 84  85558  Sex sextans.png
74 6   12  190608 249 213 185758 218 243 185958 Sge sagitta.png
75 96  82  181577 307 492 181623 506 100 161592 Sgr sagittarius.png
76 13  92  37202  399 438 21120  382 192 24076  Tau taurus.png
77 30  66  172128 101 40  169467 106 92  169767 Tel telescopium.png
78 26  12  141891 108 15  135382 60  106 150798 Tra triangulum-australe.png
79 16  42  13161  13  70  13869  97  78  11443  Tri triangulum.png
80 53  121 2884   154 86  219571 224 141 211416 Tuc tucana.png
81 26  75  120315 452 272 71369  258 394 89021  UMa ursa-major.png
82 15  20  8890   193 51  106112 93  209 148048 UMi ursa-minor.png
83 65  389 130109 454 57  102212 338 382 116658 Vir virgo.png
84 55  85  78045  210 122 57623  207 163 55865  Vol volans.png
85 35  133 189849 174 111 183439 242 135 180554 Vul vulpecula.png
